Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
159,42.2,gf,0.515,mm,OK,--,8:56:32 AM,1/10/2026
160,42.2,gf,0.52,mm,OK,--,8:56:32 AM,1/10/2026
161,42.3,gf,0.52,mm,OK,--,8:56:32 AM,1/10/2026
162,42.5,gf,0.525,mm,OK,--,8:56:33 AM,1/10/2026
163,42.6,gf,0.525,mm,OK,--,8:56:33 AM,1/10/2026
164,42.8,gf,0.53,mm,OK,--,8:56:33 AM,1/10/2026
165,42.8,gf,0.535,mm,OK,--,8:56:33 AM,1/10/2026
166,42.9,gf,0.535,mm,OK,--,8:56:33 AM,1/10/2026
167,43,gf,0.54,mm,OK,--,8:56:33 AM,1/10/2026
168,42.9,gf,0.545,mm,OK,--,8:56:33 AM,1/10/2026
169,43,gf,0.545,mm,OK,--,8:56:33 AM,1/10/2026
170,43.1,gf,0.55,mm,OK,--,8:56:33 AM,1/10/2026
171,43,gf,0.555,mm,OK,--,8:56:33 AM,1/10/2026
172,43.2,gf,0.56,mm,OK,--,8:56:34 AM,1/10/2026
173,43.5,gf,0.565,mm,OK,--,8:56:34 AM,1/10/2026
174,43.5,gf,0.565,mm,OK,--,8:56:34 AM,1/10/2026
175,43.2,gf,0.57,mm,OK,--,8:56:34 AM,1/10/2026
176,43,gf,0.575,mm,OK,--,8:56:34 AM,1/10/2026
177,43,gf,0.58,mm,OK,--,8:56:34 AM,1/10/2026
178,43.2,gf,0.585,mm,OK,--,8:56:34 AM,1/10/2026
179,43.2,gf,0.585,mm,OK,--,8:56:34 AM,1/10/2026
180,43.2,gf,0.59,mm,OK,--,8:56:34 AM,1/10/2026
181,43.3,gf,0.595,mm,OK,--,8:56:34 AM,1/10/2026
182,43.6,gf,0.6,mm,OK,--,8:56:35 AM,1/10/2026
183,43.9,gf,0.6,mm,OK,--,8:56:35 AM,1/10/2026
184,44,gf,0.605,mm,OK,--,8:56:35 AM,1/10/2026
185,44.2,gf,0.61,mm,OK,--,8:56:35 AM,1/10/2026
186,44.5,gf,0.61,mm,OK,--,8:56:35 AM,1/10/2026
187,44.6,gf,0.615,mm,OK,--,8:56:35 AM,1/10/2026
188,44.5,gf,0.62,mm,OK,--,8:56:35 AM,1/10/2026
189,44.4,gf,0.625,mm,OK,--,8:56:35 AM,1/10/2026
190,44.4,gf,0.63,mm,OK,--,8:56:35 AM,1/10/2026
191,44.7,gf,0.63,mm,OK,--,8:56:35 AM,1/10/2026
